Report_Date,Open_Interest_All,MM_Long_All,MM_Short_All,Net_Position,Percent_of_OpenInterest
2014-10-14,546174,80673,140736,-60063,10.997
2014-10-21,545024,79809,130856,-51047,9.366
2014-10-28,541423,81682,124962,-43280,7.994
2014-11-04,536005,82969,114486,-31517,5.88
2014-11-11,530928,80232,111367,-31135,5.864
2014-11-18,533235,83241,95122,-11881,2.228
2014-11-25,426786,82627,94730,-12103,2.836
2014-12-02,461562,85042,89157,-4115,0.892
2014-12-09,464881,91896,87244,4652,1.001
2014-12-16,491303,93825,78531,15294,3.113
2014-12-23,509223,97500,75207,22293,4.378
2014-12-30,472346,96601,76120,20481,4.336
2015-01-06,477441,92676,78534,14142,2.962
2015-01-13,482791,82092,72662,9430,1.953
2015-01-20,507512,74386,76848,-2462,0.485
2015-01-27,500478,71366,83392,-12026,2.403
2015-02-03,553352,72447,99816,-27369,4.946
2015-02-10,548718,68726,94095,-25369,4.623
2015-02-17,535012,72322,98571,-26249,4.906
2015-02-24,489298,72683,104921,-32238,6.589
2015-03-03,507390,57538,113953,-56415,11.119
2015-03-10,544748,54162,121573,-67411,12.375
2015-03-17,557266,56932,124481,-67549,12.122
2015-03-24,561353,55358,121323,-65965,11.751
2015-03-31,552428,53620,124111,-70491,12.76
2015-04-07,569645,54486,125373,-70887,12.444
2015-04-14,593319,54328,136450,-82122,13.841
2015-04-21,587111,50284,146908,-96624,16.458
2015-04-28,546771,51752,158665,-106913,19.554
2015-05-05,569992,51174,162583,-111409,19.546
2015-05-12,572525,52251,156940,-104689,18.285
2015-05-19,563564,62480,135479,-72999,12.953
2015-05-26,563419,62458,145793,-83335,14.791
2015-06-02,575687,65275,136948,-71673,12.45
2015-06-09,593389,75416,106184,-30768,5.185
2015-06-16,591604,67273,110755,-43482,7.35
2015-06-23,573536,60256,112972,-52716,9.191
2015-06-30,514245,85628,71522,14106,2.743
2015-07-07,528769,96522,62152,34370,6.5
2015-07-14,537535,96887,64466,32421,6.031
2015-07-21,545092,90341,69736,20605,3.78
2015-07-28,500486,75001,69902,5099,1.019
2015-08-04,539263,70695,84737,-14042,2.604
2015-08-11,539079,72852,85502,-12650,2.347
2015-08-18,535111,74933,78470,-3537,0.661
2015-08-25,446800,69046,76263,-7217,1.615
2015-09-01,452412,58330,85333,-27003,5.969
2015-09-08,459768,50936,98396,-47460,10.323
2015-09-15,471542,57715,97097,-39382,8.352
2015-09-22,468079,59236,94601,-35365,7.555
2015-09-29,447755,57443,84091,-26648,5.951
2015-10-06,463456,64998,76947,-11949,2.578
2015-10-13,461422,61956,78482,-16526,3.582
2015-10-20,483373,51204,103470,-52266,10.813
2015-10-27,477897,61949,95213,-33264,6.96
2015-11-03,477596,67043,85284,-18241,3.819
2015-11-10,481818,63232,84177,-20945,4.347
2015-11-17,501848,55306,96715,-41409,8.251
2015-11-24,429522,53747,101100,-47353,11.025
2015-12-01,442600,48714,126038,-77324,17.47
2015-12-08,425762,51794,122774,-70980,16.671
2015-12-15,411176,59678,107855,-48177,11.717
2015-12-22,435150,54047,121214,-67167,15.435
2015-12-29,436900,49365,132485,-83120,19.025
