Report Date,Commodity,Region,Attribute,Value,Unit
2000-03-10,Wheat,United States,Ending Stocks,27.14,Million Metric Tons
2000-03-10,Wheat,Major Exporters,Beginning Stocks,29.09,Million Metric Tons
2000-03-10,Wheat,Major Exporters,Production,162.78,Million Metric Tons
2000-03-10,Wheat,Major Exporters,Imports,25.18,Million Metric Tons
2000-03-10,Wheat,Major Exporters,Feed,55.05,Million Metric Tons
2000-03-10,Wheat,Major Exporters,Total Use,107.48,Million Metric Tons
2000-03-10,Wheat,Major Exporters,Exports,83.48,Million Metric Tons
2000-03-10,Wheat,Major Exporters,Ending Stocks,26.09,Million Metric Tons
2000-03-10,Wheat,World,Beginning Stocks,135.56,Million Metric Tons
2000-03-10,Wheat,World,Production,585.59,Million Metric Tons
2000-03-10,Wheat,World,Imports,124.69,Million Metric Tons
2000-03-10,Wheat,World,Feed,105.02,Million Metric Tons
2000-03-10,Wheat,World,Total Use,594.28,Million Metric Tons
2000-03-10,Wheat,World,Exports,125.36,Million Metric Tons
2000-03-10,Wheat,World,Ending Stocks,126.86,Million Metric Tons
2000-04-11,Corn,United States,Beginning Stocks,45.39,Million Metric Tons
2000-04-11,Corn,United States,Production,239.72,Million Metric Tons
2000-04-11,Corn,United States,Imports,0.38,Million Metric Tons
2000-04-11,Corn,United States,Feed,143.52,Million Metric Tons
2000-04-11,Corn,United States,Total Use,192.54,Million Metric Tons
2000-04-11,Corn,United States,Exports,48.26,Million Metric Tons
2000-04-11,Corn,United States,Ending Stocks,44.69,Million Metric Tons
2000-04-11,Corn,Major Exporters,Beginning Stocks,2.09,Million Metric Tons
2000-04-11,Corn,Major Exporters,Production,25.5,Million Metric Tons
2000-04-11,Corn,Major Exporters,Imports,0.1,Million Metric Tons
2000-04-11,Corn,Major Exporters,Feed,9.45,Million Metric Tons
2000-04-11,Corn,Major Exporters,Total Use,14.6,Million Metric Tons
2000-04-11,Corn,Major Exporters,Exports,10.5,Million Metric Tons
2000-04-11,Corn,Major Exporters,Ending Stocks,2.59,Million Metric Tons
2000-04-11,Corn,World,Beginning Stocks,109.35,Million Metric Tons
2000-04-11,Corn,World,Production,600.83,Million Metric Tons
2000-04-11,Corn,World,Imports,76.31,Million Metric Tons
2000-04-11,Corn,World,Feed,422.99,Million Metric Tons
2000-04-11,Corn,World,Total Use,601.61,Million Metric Tons
2000-04-11,Corn,World,Exports,80.02,Million Metric Tons
2000-04-11,Corn,World,Ending Stocks,108.56,Million Metric Tons
2000-04-11,"Meal, Soybeans",United States,Beginning Stocks,0.3,Million Metric Tons
2000-04-11,"Meal, Soybeans",United States,Production,34.33,Million Metric Tons
2000-04-11,"Meal, Soybeans",United States,Imports,0.05,Million Metric Tons
2000-04-11,"Meal, Soybeans",United States,Total Use,28.12,Million Metric Tons
2000-04-11,"Meal, Soybeans",United States,Exports,6.26,Million Metric Tons
2000-04-11,"Meal, Soybeans",United States,Ending Stocks,0.3,Million Metric Tons
2000-04-11,"Meal, Soybeans",Major Exporters,Beginning Stocks,1.41,Million Metric Tons
2000-04-11,"Meal, Soybeans",Major Exporters,Production,34.82,Million Metric Tons
2000-04-11,"Meal, Soybeans",Major Exporters,Imports,0.1,Million Metric Tons
2000-04-11,"Meal, Soybeans",Major Exporters,Total Use,9.0,Million Metric Tons
2000-04-11,"Meal, Soybeans",Major Exporters,Exports,25.98,Million Metric Tons
2000-04-11,"Meal, Soybeans",Major Exporters,Ending Stocks,1.35,Million Metric Tons
2000-04-11,"Meal, Soybeans",World,Beginning Stocks,4.38,Million Metric Tons
2000-04-11,"Meal, Soybeans",World,Production,107.09,Million Metric Tons
2000-04-11,"Meal, Soybeans",World,Imports,38.27,Million Metric Tons
2000-04-11,"Meal, Soybeans",World,Total Use,107.25,Million Metric Tons
2000-04-11,"Meal, Soybeans",World,Exports,38.52,Million Metric Tons
2000-04-11,"Meal, Soybeans",World,Ending Stocks,3.97,Million Metric Tons
2000-04-11,"Oil, Soybeans",United States,Beginning Stocks,0.69,Million Metric Tons
2000-04-11,"Oil, Soybeans",United States,Production,8.18,Million Metric Tons
2000-04-11,"Oil, Soybeans",United States,Imports,0.04,Million Metric Tons
2000-04-11,"Oil, Soybeans",United States,Total Use,7.37,Million Metric Tons
2000-04-11,"Oil, Soybeans",United States,Exports,0.68,Million Metric Tons
2000-04-11,"Oil, Soybeans",United States,Ending Stocks,0.87,Million Metric Tons
2000-04-11,"Oil, Soybeans",Major Exporters,Beginning Stocks,0.79,Million Metric Tons
