Report_Date,Open_Interest_All,MM_Long_All,MM_Short_All,Net_Position,Percent_of_OpenInterest
2015-06-23,436962,64514,45923,18591,4.255
2015-06-30,407470,69233,39486,29747,7.3
2015-07-07,396447,63231,45448,17783,4.486
2015-07-14,408733,64258,37565,26693,6.531
2015-07-21,410641,60662,43872,16790,4.089
2015-07-28,406200,56869,58099,-1230,0.303
2015-08-04,411438,57118,69515,-12397,3.013
2015-08-11,413322,59851,68165,-8314,2.012
2015-08-18,429846,65208,76524,-11316,2.633
2015-08-25,447591,65836,74843,-9007,2.012
2015-09-01,441807,71385,78865,-7480,1.693
2015-09-08,457841,67663,79173,-11510,2.514
2015-09-15,466092,68048,85935,-17887,3.838
2015-09-22,475547,68453,87249,-18796,3.953
2015-09-29,449963,64425,67719,-3294,0.732
2015-10-06,455222,67984,54680,13304,2.923
2015-10-13,470365,68577,50034,18543,3.942
2015-10-20,476935,73777,48595,25182,5.28
2015-10-27,484197,68866,48360,20506,4.235
2015-11-03,503883,63963,50325,13638,2.707
2015-11-10,517952,63914,63299,615,0.119
2015-11-17,515991,67040,63946,3094,0.6
2015-11-24,476706,72024,50489,21535,4.517
2015-12-01,479984,75770,35232,40538,8.446
2015-12-08,474295,75521,13055,62466,13.17
2015-12-15,480175,83089,10632,72457,15.09
2015-12-22,457235,84851,19568,65283,14.278
2015-12-29,425727,79996,19101,60895,14.304
2016-01-05,424762,74774,27394,47380,11.154
2016-01-12,443192,69874,37027,32847,7.411
2016-01-19,451196,70681,31134,39547,8.765
2016-01-26,450610,66829,18280,48549,10.774
2016-02-02,459602,71814,21403,50411,10.968
2016-02-09,460218,72545,25284,47261,10.269
2016-02-16,467318,78893,21221,57672,12.341
2016-02-23,446568,80075,29587,50488,11.306
2016-03-01,421163,75301,33740,41561,9.868
2016-03-08,424624,72100,33008,39092,9.206
2016-03-15,467437,99347,24439,74908,16.025
2016-03-22,507806,119675,20335,99340,19.563
2016-03-29,510217,124764,19109,105655,20.708
2016-04-05,543095,133220,24501,108719,20.018
2016-04-12,533999,127344,30903,96441,18.06
2016-04-19,555782,119858,27133,92725,16.684
2016-04-26,483471,113379,18978,94401,19.526
2016-05-03,461048,99662,28710,70952,15.389
2016-05-10,455419,92385,24052,68333,15.004
2016-05-17,456108,89535,19539,69996,15.346
2016-05-24,457478,76802,30393,46409,10.145
2016-05-31,467378,75941,38933,37008,7.918
2016-06-07,467423,77666,36938,40728,8.713
2016-06-14,460812,82550,29680,52870,11.473
2016-06-21,447890,69508,34668,34840,7.779
2016-06-28,404603,59145,38947,20198,4.992
2016-07-05,401688,52630,50746,1884,0.469
2016-07-12,397428,50374,49815,559,0.141
2016-07-19,406016,49168,53246,-4078,1.004
2016-07-26,405977,47219,64437,-17218,4.241
2016-08-02,401307,45354,62184,-16830,4.194
2016-08-09,403604,54184,46983,7201,1.784
2016-08-16,426357,65927,26872,39055,9.16
2016-08-23,461766,93310,17312,75998,16.458
2016-08-30,438276,104366,19063,85303,19.463
2016-09-06,439954,101886,19520,82366,18.722
2016-09-13,438014,95964,25736,70228,16.033
2016-09-20,436602,98085,15844,82241,18.837
2016-09-27,453404,109826,15634,94192,20.774
2016-10-04,453671,108678,15936,92742,20.443
2016-10-11,472433,102465,20656,81809,17.317
2016-10-18,492761,116267,15006,101261,20.55
2016-10-25,507534,125981,10827,115154,22.689
2016-11-01,517984,136973,10430,126543,24.43
2016-11-08,515135,133472,14718,118754,23.053
2016-11-15,475835,110731,13090,97641,20.52
2016-11-22,472333,108628,13095,95533,20.226
2016-11-29,452674,117774,5823,111951,24.731
2016-12-06,467320,117369,7509,109860,23.509
2016-12-13,437906,114375,13008,101367,23.148
2016-12-20,438278,114361,16474,97887,22.334
2016-12-27,406645,102895,17373,85522,21.031
2017-01-03,400483,91135,20001,71134,17.762
2017-01-10,408014,93697,15072,78625,19.27
2017-01-17,426740,100528,15245,85283,19.985
2017-01-24,441762,109403,13498,95905,21.71
2017-01-31,444890,93271,26296,66975,15.054
2017-02-07,436421,82450,19598,62852,14.402
2017-02-14,416903,83621,15003,68618,16.459
2017-02-21,435295,76976,32078,44898,10.314
2017-02-28,395607,66455,39409,27046,6.837
2017-03-07,400102,67134,40770,26364,6.589
2017-03-14,418133,62690,61906,784,0.188
2017-03-21,442204,60532,85697,-25165,5.691
2017-03-28,441972,63343,83091,-19748,4.468
2017-04-04,470552,58378,97174,-38796,8.245
2017-04-11,475103,56413,107119,-50706,10.673
2017-04-18,482545,59246,106542,-47296,9.801
2017-04-25,452008,68788,105802,-37014,8.189
2017-05-02,460786,72146,101534,-29388,6.378
2017-05-09,449668,77807,90658,-12851,2.858
2017-05-16,449112,78607,84615,-6008,1.338
2017-05-23,458168,77252,85873,-8621,1.882
2017-05-30,474362,74632,96945,-22313,4.704
2017-06-06,501335,75910,110211,-34301,6.842
2017-06-13,463085,77656,94496,-16840,3.636
2017-06-20,450697,78200,73431,4769,1.058
2017-06-27,407615,73624,63113,10511,2.579
2017-07-03,404306,71175,51457,19718,4.877
2017-07-11,432122,78743,35747,42996,9.95
2017-07-18,432337,82243,33295,48948,11.322
2017-07-25,426819,91200,28572,62628,14.673
2017-08-01,438149,96373,28460,67913,15.5
2017-08-08,443731,96959,31944,65015,14.652
2017-08-15,449596,86667,40637,46030,10.238
2017-08-22,454813,80487,35883,44604,9.807
2017-08-29,441516,82924,16053,66871,15.146
2017-09-05,458084,101072,12438,88634,19.349
2017-09-12,472864,113472,13037,100435,21.24
2017-09-19,473144,110516,17646,92870,19.628
2017-09-26,465056,99638,24009,75629,16.262
2017-10-03,450331,73997,43281,30716,6.821
2017-10-10,461218,71248,48116,23132,5.015
2017-10-17,472962,73492,48567,24925,5.27
